NCBI GeneID,Gene symbol,num of cells in which gene responds to hypoxia,Average fold change in hypoxia,consistent response in hypoxia,HIF score,HIF site rank,hypoxia rank,Final rank,Previously validated HIF target
25847,ANAPC13,2,-1.6,Yes,21,268,768,362,No
7415,VCP,3,-1.6,Yes,9,815,381,462,No
2271,FH,3,-1.7,Yes,20,299,360,154,No
60481,ELOVL5,2,-1.7,Yes,25,221,556,198,No
54976,C20orf27,2,-1.7,Yes,20,284,560,246,No
10213,PSMD14,2,-1.7,Yes,17,371,558,307,No
2222,FDFT1,2,-1.7,Yes,16,398,553,318,No
8289,ARID1A,3,-1.7,Yes,8,857,362,481,No
54968,TMEM70,2,-1.8,Yes,50,66,548,139,No
898,CCNE1,2,-1.8,Yes,21,275,535,227,No
10682,EBP,2,-1.8,Yes,20,290,533,234,No
2521,FUS,2,-1.8,Yes,20,291,534,236,No
23070,KIAA0082,2,-1.8,Yes,19,315,545,255,No
10431,TIMM23,2,-1.8,Yes,12,606,549,427,No
9221,NOLC1,3,-1.8,Yes,8,838,320,428,No
8569,MKNK1,2,-1.8,Yes,11,630,551,448,No
3609,ILF3,4,-1.9,Yes,22,256,167,73,No
58477,SRPRB,2,-1.9,Yes,52,58,517,126,No
4638,MYLK,2,-1.9,Yes,44,84,518,137,No
4928,NUP98,2,-1.9,Yes,22,263,515,199,No
255231,MCOLN2,2,-1.9,Yes,12,603,512,401,No
1798,DPAGT1,1,-1.9,Yes,90,5,1215,482,No
5036,PA2G4,2,-2.0,Yes,28,172,485,151,No
10121,ACTR1A,5,-2.0,Yes,13,571,108,158,No
55585,UBE2Q1,2,-2.0,Yes,15,465,495,320,No
7343,UBTF,3,-2.0,Yes,10,702,262,322,No
7203,CCT3,4,-2.0,Yes,6,1047,148,461,No
5306,PITPNA,2,-2.0,Yes,10,711,488,464,No
51290,ERGIC2,1,-2.0,Yes,40,94,1139,490,No
